nev1; nev2; ho; nap;
Tihamér; Annamária; 7; 1;
Ottó; ; 7; 2;
Kornél; Soma; 7; 3;
Ulrik; ; 7; 4;
Emese; Sarolta; 7; 5;
Csaba; ; 7; 6;
Apollónia; ; 7; 7;
Ellák; ; 7; 8;
Lukrécia; ; 7; 9;
Amália; ; 7; 10;
Nóra; Lili; 7; 11;
Izabella; Dalma; 7; 12;
Jenő; ; 7; 13;
Örs; Stella; 7; 14;
Henrik; Roland; 7; 15;
Valter; ; 7; 16;
Endre; Elek; 7; 17;
Frigyes; ; 7; 18;
Emília; ; 7; 19;
Illés; ; 7; 20;
Dániel; Daniella; 7; 21;
Magdolna; ; 7; 22;
Lenke; ; 7; 23;
Kinga; Kincső; 7; 24;
Jakab; Kristóf; 7; 25;
Anna; Anikó; 7; 26;
Olga; Liliána; 7; 27;
Szabolcs; ; 7; 28;
Márta; Flóra; 7; 29;
Judit; Xénia; 7; 30;
Oszkár; ; 7; 31;
Boglárka; ; 8; 1;
Lehel; ; 8; 2;
Hermina; ; 8; 3;
Domonkos; Dominika; 8; 4;
Krisztina; ; 8; 5;
Berta; Bettina; 8; 6;
Ibolya; ; 8; 7;
László; ; 8; 8;
Emőd; ; 8; 9;
Lőrinc; ; 8; 10;
Zsuzsanna; Tiborc; 8; 11;
Klára; ; 8; 12;
Ipoly; ; 8; 13;
Marcell; ; 8; 14;
Mária; ; 8; 15;
Ábrahám; ; 8; 16;
Jácint; ; 8; 17;
Ilona; ; 8; 18;
Huba; ; 8; 19;
Szt. István; István; 8; 20;
Sámuel; Hajna; 8; 21;
Menyhért; Mirjam; 8; 22;
Bence; ; 8; 23;
Bertalan; ; 8; 24;
Lajos; Patrícia; 8; 25;
Izsó; ; 8; 26;
Gáspár; ; 8; 27;
Ágoston; ; 8; 28;
Beatrix; Erna; 8; 29;
Rózsa; ; 8; 30;
Erika; Bella; 8; 31;
Egyed; Egon; 9; 1;
Rebekka; Dorina; 9; 2;
Hilda; ; 9; 3;
Rozália; ; 9; 4;
Viktor; Lőrinc; 9; 5;
Zakariás; ; 9; 6;
Regina; ; 9; 7;
Mária; Adrienn; 9; 8;
Ádám; ; 9; 9;
Nikolett; Hunor; 9; 10;
Teodóra; ; 9; 11;
Mária; ; 9; 12;
Kornél; ; 9; 13;
Szeréna; Roxána; 9; 14;
Enikő; Melitta; 9; 15;
Edit; ; 9; 16;
Zsófia; ; 9; 17;
Diána; ; 9; 18;
Vilhelmina; ; 9; 19;
Friderika; ; 9; 20;
Máté; Mirella; 9; 21;
Móric; ; 9; 22;
Tekla; ; 9; 23;
Gellért; Mercedesz; 9; 24;
Eufrozina; Kende; 9; 25;
Jusztina; ; 9; 26;
Adalbert; ; 9; 27;
Vencel; ; 9; 28;
Mihály; ; 9; 29;
Jeromos; ; 9; 30;
Malvin; ; 10; 1;
Petra; ; 10; 2;
Helga; ; 10; 3;
Ferenc; ; 10; 4;
Aurél; ; 10; 5;
Brúnó; Renáta; 10; 6;
Amália; ; 10; 7;
Koppány; ; 10; 8;
Dénes; ; 10; 9;
Gedeon; ; 10; 10;
Brigitta; ; 10; 11;
Miksa; ; 10; 12;
Kálmán; Ede; 10; 13;
Helén; ; 10; 14;
Teréz; ; 10; 15;
Gál; ; 10; 16;
Hedvig; ; 10; 17;
Lukács; ; 10; 18;
Nándor; ; 10; 19;
Vendel; ; 10; 20;
Orsolya; ; 10; 21;
Előd; ; 10; 22;
Gyöngyi; ; 10; 23;
Salamon; ; 10; 24;
Blanka; Bianka; 10; 25;
Dömötör; ; 10; 26;
Szabina; ; 10; 27;
Simon; Szimonetta; 10; 28;
